id,charity_name,website,affiliation,post_code,city,address,email,phone_number,area_of_impact
1,1000/0 Aventura - Associação de Desporto e Natureza,,ONGA,7000-357,Évora,"Beco do Chiado, nº 28",cem.aventura@gmail.com,,
2,A Rocha - Associação Cristã de Estudo e Defesa do Ambiente,www.arocha.pt,ONGA,8501-903,Mexilhoeira Grande,Cruzinha - Endereço Postal: Apartado 41,portugal@arocha.org,,
3,Abrigo de Carinho - Associação Amigos do Animais,,ONGA,3070-802,PRAIA DE MIRA,"Rua da Igreja, nº 12",abrigo_de_carinho@hotmail.com,,
4,Aguiar Floresta - Associação Florestal e Ambiental de Vila Pouca de Aguiar,www.aguiarfloresta.org,ONGA,5450-056,VILA POUCA DE AGUIAR,"Central de Camionagem, loja 4",geral@aguiarfloresta.org,,
5,Alambi - Associação para o Estudo e Defesa do Ambiente do Concelho de Alenquer,www.alambi.org,ONGA,2584-909,Alenquer,"Avenida da Juventude, Casais Novos - Morada Postal:Apartado 63",francisco@alambi.org,,
6,Almargem - Associação de Defesa do Património Cultural e Ambiental do Algarve,www.almargem.org,ONGA,8100-545,LOULÉ,"Praceta Julião Quintinha, Bloco A, R/c esquerdo, Apartado 251",almargem@mail.telepac.pt,,
7,Alto Relevo - Clube de Montanhismo,,ONGA,4440-697,Valongo,"Rua Sousa Paupério, nº 108",geral@altorelevo.org,,
8,Amigos Picudos - Associação para a Preservação e Protecção dos Ouriços,www.amigospicudos.webnode.pt,ONGA,4470-310,MAIA,"Travessa D. João IV, nº 13",amigospicudos@gmail.com,,
9,Ania - Associação Ambiental,www.ania-ambiente.org,ONGA,4500-302,ESPINHO,"Rua 30, nº 955",geral@ania-ambiente.org,,
10,ANP - Associação Natureza Portugal,www.wwf.pt,ONGA,1600-312,LISBOA,"Rua Adriano Correia de Oliveira, nº 4-A",amorgado@natureza-portugal.org,,
11,APAMB - Associação Portuguesa de Inspecção e Prevenção Ambiental,www.apamb.pt,ONGA,2900-309,Setúbal,"Av. 5 de Outubro, nº 148 - 5ºH",geral@apamb.pt,,
12,APASADO - Associação de Protecção Ambiental do Sado,,ONGA,7580-131,ALCÁCER DO SAL,"Rua do Arroz, n.º 1",apasado@mail.telepac.pt,,
13,APEMETA - Associação Portuguesa de Empresas de Tecnologias Ambientais,www.apemeta.pt,ONGA,1700-097,LISBOA,"Campo Grande, nº 294 - 2º Dto/Esqº",tecnico@apemeta.pt,,
14,Arméria - Movimento Ambientalista de Peniche,https://www.facebook.com/AssociacaoArmeria,ONGA,2520-476,PENICHE,"Espaço Associativo - Rua Marquês de Pombal, nº 22 - 1º andar",associacaoarmeria@gmail.com,,
15,"Associação - Acção, Liberdade, Desenvolvimento, Educação, Investigação, Ambiente - Aldeia",www.aldeia.org,ONGA,5230-314,Vimioso,"Bairro de S. Sebastião, (Edifício Magistrados) - Endereço Postal: Apartado 29",aldeiamail@gmail.com,,
16,Associação Animais de Rua – Esterilização e Proteção de Animais em Risco,,ONGA,4000-465,PORTO,"Rua João das Regras, nº 284 – Sala 105",pedrojanson@gmail.com,,
